 , 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
1,65497,20138,6485,5417,9587,11702,12023,11890,13196,13282,15754,17475,21439,24424,27884,27501,32195,31567,52516,2831
2,57091,13400,5018,4767,9376,12151,11961,12394,13252,13399,15562,17821,21375,25644,28679,29582,30268,32809,53960,2622
3,52502,11054,4342,4323,9222,12296,12257,12747,13813,14001,15871,18423,21877,26475,29216,30778,30254,33564,54241,2558
4,49631,11534,4418,4160,8893,11936,12434,12790,14139,14302,16472,18959,22560,27925,29820,32983,30758,34765,55690,2166
5,49305,10667,3994,4021,8687,12375,12008,13088,14205,14878,16485,19162,22753,27830,30006,34701,30003,36115,56536,2255
6,48023,10680,4002,4037,8504,12097,12280,12882,14388,14832,16751,19587,23456,28407,31809,35543,32708,35444,62514,2334
7,45707,10375,4104,3987,8561,11381,11799,12624,14172,14787,16983,19397,23798,28750,33406,36463,35711,34594,67550,2172
8,44377,9371,4007,3949,8483,11575,11834,12434,14278,15440,17312,20400,24163,29860,34164,37682,37627,34243,66995,2243
9,42183,8541,3849,4033,8154,11272,12111,12650,14564,15812,18125,20798,25017,30016,35468,37662,39825,34322,67743,2520
10,40283,7774,3657,3826,7812,10379,11477,12193,14170,15613,18116,21318,25399,30628,36742,38889,41355,34249,67759,2311
11,38621,6963,3457,3718,7389,9995,11291,12009,13956,15496,18061,21068,25494,30849,35978,39371,40938,34891,65906,2216
12,35911,6620,3369,3768,7469,9738,11060,11910,13624,15726,18335,22004,25873,31479,36421,40686,42262,37597,67102,2173
13,36567,6831,3297,3761,7643,9863,10929,12105,13664,16199,19233,22739,26853,32478,38237,42516,44183,40747,69633,2209
14,33355,6700,3149,3808,7332,9562,11173,12400,13915,16515,19804,23425,27949,33642,39536,44905,45753,44176,72845,2196
15,32764,6608,3119,3526,7364,9473,10725,12047,13719,16368,19864,23820,28227,34330,39474,45283,46081,46335,72387,1903
16,32603,6469,3176,3644,7498,9825,10909,12539,14062,17048,20839,24758,29706,35371,40938,47028,49394,49602,77712,2119
17,30899,6093,2993,3699,7652,9741,10808,12777,14262,16857,21073,25460,30336,35214,41278,46589,50147,49059,77667,1867
18,30425,6068,2992,3583,7985,10024,11159,13019,14921,17625,22001,26771,31604,37015,42564,49214,52501,51188,81846,1915
19,29537,5739,2897,3691,8496,10938,12102,14017,15950,18555,23015,28557,32764,39110,44040,51676,55691,53836,87132,1787
20,28988,5992,3157,3787,9453,12719,13860,15545,18006,19948,24611,30095,34744,40041,45743,52357,57823,54543,90726,2535
21,28865,5651,2882,3609,9902,13216,14401,15955,18292,19926,24575,30076,35590,41818,47247,55065,60783,59961,101391,2813
22,29050,5682,2840,3457,9984,13385,14355,15462,18213,20136,24450,30631,36041,41784,47288,54287,59467,60355,99761,4065
23,28956,5346,2822,3462,9772,13506,13678,15151,17890,20215,25074,31512,38061,43333,49185,55217,61631,61737,101965,3841
24,27817,5348,2658,3258,8613,12703,13450,14851,17689,20781,25849,32721,39634,45269,51402,57459,64562,66662,109688,3185
25,26399,5129,2648,3368,8178,12325,12808,14507,17366,21587,26433,33858,41431,47060,53174,59169,65378,67810,111848,3165
26,26057,5028,2480,3205,8373,12624,13063,14405,17524,21842,26939,34436,42503,49252,55255,61031,68287,70629,119766,2989
27,24730,5082,2523,3261,8510,13566,14433,15546,18717,23869,28424,36726,45594,52782,58142,63657,69542,72197,125191,3274
28,25456,4912,2572,3396,9284,14534,16111,17058,19580,24760,29847,37341,46361,54032,58738,64484,70194,73392,127429,3566
29,23451,4605,2468,3171,9323,14968,17325,17817,20544,25447,31219,38609,48061,56338,60751,66364,71830,74702,130751,4867
30,22944,4700,2491,3154,9125,15047,18047,18736,21103,25799,32924,39897,49877,59134,64167,69800,74325,77501,134868,4145
31,19352,3887,2289,3129,9462,15992,20417,22892,28243,37923,53719,67948,86433,103472,110158,112359,110616,105994,166846,5612
32,19323,4009,2220,3315,9613,16211,21548,24980,31536,40022,56479,68139,86602,102662,111620,114361,114128,108787,176235,5377
